property_address,status
371 WALLER ST,"Work Complete, CFC Issued"
1355 CALIFORNIA ST,Non-Compliant
1534 HAYES ST,Non-Compliant
1275 08TH AV,Non-Compliant
2899 JACKSON ST,"Work Complete, CFC Issued"
2015 CABRILLO ST,"Work Complete, CFC Issued"
32 GEORGE CT,Non-Compliant
1018 HYDE ST,"Work Complete, CFC Issued"
518 06TH AV,Non-Compliant
355 15TH AV,"Work Complete, CFC Issued"
955 ASHBURY ST,"Work Complete, CFC Issued"
5411 DIAMOND HEIGHTS BL,"Work Complete, CFC Issued"
301 20TH AV,"Permit Submitted, CFC Required by 9/15/20"
1360 WASHINGTON ST,"Work Complete, CFC Issued"
1811 LEAVENWORTH ST,"Work Complete, CFC Issued"
450 IRVING ST,"Permit Submitted, CFC Required by 9/15/20"
1138 FELL ST,"Work Complete, CFC Issued"
2865 JACKSON ST,Non-Compliant
333 FILLMORE ST,"Work Complete, CFC Issued"
1555 HYDE ST,"Work Complete, CFC Issued"
2100 JONES ST,"Permit Submitted, CFC Required by 9/15/20"
2634 OCTAVIA ST,"Work Complete, CFC Issued"
195 WOOLSEY ST,Non-Compliant
3151 FRANKLIN ST,"Work Complete, CFC Issued"
1060 FELL ST,"Work Complete, CFC Issued"
2970 MISSION ST,Non-Compliant
2200 HYDE ST,"Work Complete, CFC Issued"
1415 CLAY ST,Non-Compliant
618 FELL ST,"Work Complete, No CFC Issued yet"
470 FREDERICK ST,"Work Complete, CFC Issued"
500 HAYES ST,"Permit Submitted, CFC Required by 9/15/20"
560 26TH AV,Non-Compliant
1207 MONTGOMERY ST,"Work Complete, CFC Issued"
1965 PAGE ST,"Work Complete, CFC Issued"
278 27TH AV,"Work Complete, CFC Issued"
22 DAY ST,Non-Compliant
2434 MISSION ST,"Work Complete, CFC Issued"
1 DAWSON PL,"Work Complete, CFC Issued"
471 23RD AV,"Work Complete, CFC Issued"
2323 LARKIN ST,"Work Complete, CFC Issued"
315 GUERRERO ST,Non-Compliant
470 14TH ST,Non-Compliant
2661 PINE ST,"Work Complete, CFC Issued"
425 EUCLID AV,"Work Complete, CFC Issued"
625 HAIGHT ST,"Work Complete, CFC Issued"
