Name,Address,At_risk,Liquefaction_Potential
33 8th at Trinity Place Apartments,33 8th Street,,Very High
Hilton San Francisco &.. [Hilton San Francisco &..],330 Taylor Street,,Moderate
Royal Towers,1750 Taylor Street,,Very Low
Bank of the West,180 Montgomery Street,,Very High
135 Main Street,135 Main Street,,Very High
St. Regis San Francisc.. [St. Regis San Francisc.*,125 3rd Street,,Very High
55 2nd Street,55 2nd Street,,Moderate
475 Sansome Street,475 Sansome Street,,Very High
San Francisco City Hall,1 Dr Carlton B Goodlett Place,,Moderate
Bechtel Building,50 Beale Street,yes,Very High
LUMINA I,301 Beale Street,,Very High
44 Montgomery,44 Montgomery Street,yes,Very High
Macondray House [Golden Gateway Center],405 Davis Court,,Very High
Sir Francis Drake Hotel,450 Powell Street,,Low
Bank of America Computer Center,1455 Market Street,,Very High
United Commercial Bank,555 Montgomery Street,,Very Low
100 Pine Center,100 Pine Street,yes,Very High
Hobart Building,582 Market Street,,Moderate
Ava 55 Ninth,55 9th Street,,Very High
Southern Pacific Building,1 Market Street,,Very High
Hilton San Francisco &.. [Hilton San Francisco &..],201 Mason Street,,Moderate
1500 Mission - Office,1500 Mission Street,,Very High
123 Mission Street,123 Mission Street,,Very High
BridgeView,400 Beale Street,,Very Low
Holiday Inn,1500 Van Ness Avenue,,Moderate
Two Transamerica Center,505 Sansome Street,yes,Very High
535 Mission Street,535 Mission Street,,Very High
PG&E Headquarters,245 Market Street,,Very High
601 Montgomery Street,601 Montgomery Street,,Very Low
Jasper,45 Lansing Street,,Very Low
The Summit,999 Green Street,,Very Low
California Automobile Association Building,100 Van Ness Avenue,yes,Very High
Insurance Center Building,450 Sansome Street,,Very High
Hartford Building,650 California Street,yes,Very High
350 Bush Street,350 Bush Street,,Very Low
Spear Tower,1 Market Street,yes,Very High
100 Spear Street,100 Spear Street,yes,Very High
Hyatt Regency,5 The Embarcadero,,Very High
Twelve Hundred California,1200 California Street,,Very Low
Hills Plaza,345 Spear Street,,Very High
340 Fremont Street,340 Fremont Street,,Moderate
235 Pine Street,235 Pine Street,,Very High
500 Folsom,500 Folsom Street,,Very High
Archstone Fox Plaza,1390 Market Street,,Moderate
Montgomery Washington Tower,655 Montgomery Street,,Very Low
JPMorgan Chase,560 Mission Street,,Moderate
LUMINA II,338 Main Street,,Very High
Bechtel Building,45 Fremont Street,,Very High
InterContinental San Francisco,888 Howard Street,,Very High
100 First Street,100 First Street,,Very High
One Maritime Plaza (Golden Gateway Office Building),300 Clay Street,,Very High
399 Fremont Street,399 Fremont Street,,Moderate
Ferry Building,One Ferry Building,,Very High
Parc 55 San Francisco,55 Cyril Magnin Street,,Very Low
456 Montgomery Plaza,456 Montgomery Street,,Very High
International Building,601 California Street,,Very Low
388 Market Street,388 Market Street,,Very High
UCSF Medical Center Parnassus,500 Parnassus Avenue,,Moderate
595 Market Street,595 Market Street,yes,Moderate
GAP Building,2 Folsom Street,,Very High
111 Pine Street,111 Pine Street,,Very High
121 Spear Street,121 Spear Street,,Very High
Grand Hyatt San Francisco,345 Stockton Street,,Moderate
Bellaire Tower,1101 Green Street,,Very Low
Equitable Life,100 Montgomery Street,,Very High
580 California Street,580 California Street,,Very High
One Bush Plaza,1 Bush Street,,Very High
Three Embarcadero Cent.. [Embarcadero Center],101 Clay Street,yes,Very High
Russ Building,235 Montgomery Street,,Very Low
PacBell - Pine Street Building,555 Pine Street,,Very Low
150 California Street,150 California Street,,Very High
PacBell Center,611 Folsom Street,,Very High
The Watermark,501 Beale Street,,Very High
Salesforce Tower,415 Mission Street,,Very High
455 Market Street,455 Market Street,,Very High
Green Hill Tower,1070 Green Street,,Very Low
Beal Bank Building,180 Sansome Street,yes,Very High
